From	To	Species	Gene Name
b2907	ubiH	Escherichia coli str. K-12 substr. MG1655	2-octaprenyl-6-methoxyphenol 4-hydroxylase(ubiH)
b1819	manZ	Escherichia coli str. K-12 substr. MG1655	mannose-specific PTS enzyme IID component(manZ)
b1814	sdaA	Escherichia coli str. K-12 substr. MG1655	L-serine deaminase I(sdaA)
b0724	sdhB	Escherichia coli str. K-12 substr. MG1655	succinate:quinone oxidoreductase, iron-sulfur cluster binding protein(sdhB)
b2903	gcvP	Escherichia coli str. K-12 substr. MG1655	glycine decarboxylase(gcvP)
b2904	gcvH	Escherichia coli str. K-12 substr. MG1655	glycine cleavage system H protein(gcvH)
b0723	sdhA	Escherichia coli str. K-12 substr. MG1655	succinate:quinone oxidoreductase, FAD binding protein(sdhA)
b0722	sdhD	Escherichia coli str. K-12 substr. MG1655	succinate:quinone oxidoreductase, membrane protein SdhD(sdhD)
b2905	gcvT	Escherichia coli str. K-12 substr. MG1655	aminomethyltransferase(gcvT)
b1817	manX	Escherichia coli str. K-12 substr. MG1655	mannose-specific PTS enzyme IIAB component(manX)
b0721	sdhC	Escherichia coli str. K-12 substr. MG1655	succinate:quinone oxidoreductase, membrane protein SdhC(sdhC)
b2906	ubiI	Escherichia coli str. K-12 substr. MG1655	2-octaprenylphenol 6-hydroxylase(ubiI)
b0963	mgsA	Escherichia coli str. K-12 substr. MG1655	methylglyoxal synthase(mgsA)
b0728	sucC	Escherichia coli str. K-12 substr. MG1655	succinyl-CoA synthetase subunit beta(sucC)
b0727	sucB	Escherichia coli str. K-12 substr. MG1655	dihydrolipoyltranssuccinylase(sucB)
b1812	pabB	Escherichia coli str. K-12 substr. MG1655	aminodeoxychorismate synthase subunit 1(pabB)
b0968	yccX	Escherichia coli str. K-12 substr. MG1655	acylphosphatase(yccX)
b0726	sucA	Escherichia coli str. K-12 substr. MG1655	subunit of E1(0) component of 2-oxoglutarate dehydrogenase(sucA)
b2901	bglA	Escherichia coli str. K-12 substr. MG1655	6-phospho-beta-glucosidase A(bglA)
b1813	nudL	Escherichia coli str. K-12 substr. MG1655	putative NUDIX hydrolase with low 3-phosphohydroxypyruvate phosphatase activity(nudL)
b0720	gltA	Escherichia coli str. K-12 substr. MG1655	citrate synthase(gltA)
b4087	alsA	Escherichia coli str. K-12 substr. MG1655	D-allose ABC transporter ATP binding subunit(alsA)
b4086	alsC	Escherichia coli str. K-12 substr. MG1655	D-allose ABC transporter membrane subunit(alsC)
b4088	alsB	Escherichia coli str. K-12 substr. MG1655	D-allose ABC transporter periplasmic binding protein(alsB)
b4085	alsE	Escherichia coli str. K-12 substr. MG1655	D-allulose-6-phosphate 3-epimerase(alsE)
b4084	alsK	Escherichia coli str. K-12 substr. MG1655	D-allose kinase(alsK)
b0954	fabA	Escherichia coli str. K-12 substr. MG1655	beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase(fabA)
b1805	fadD	Escherichia coli str. K-12 substr. MG1655	long-chain-fatty-acid--CoA ligase(fadD)
b1800	dmlA	Escherichia coli str. K-12 substr. MG1655	D-malate/3-isopropylmalate dehydrogenase (decarboxylating)(dmlA)
b1801	yeaV	Escherichia coli str. K-12 substr. MG1655	putative transporter YeaV(yeaV)
b0957	ompA	Escherichia coli str. K-12 substr. MG1655	outer membrane protein A(ompA)
b4079	fdhF	Escherichia coli str. K-12 substr. MG1655	formate dehydrogenase H(fdhF)
b4077	gltP	Escherichia coli str. K-12 substr. MG1655	glutamate/aspartate : H(+) symporter GltP(gltP)
b4072	nrfC	Escherichia coli str. K-12 substr. MG1655	putative menaquinol-cytochrome c reductase 4Fe-4S subunit(nrfC)
b4071	nrfB	Escherichia coli str. K-12 substr. MG1655	periplasmic nitrite reductase penta-heme c-type cytochrome(nrfB)
b4073	nrfD	Escherichia coli str. K-12 substr. MG1655	putative menaquinol-cytochrome c reductase subunit NrfD(nrfD)
b0709	dtpD	Escherichia coli str. K-12 substr. MG1655	dipeptide:H(+) symporter DtpD(dtpD)
b4070	nrfA	Escherichia coli str. K-12 substr. MG1655	cytochrome c552 nitrite reductase(nrfA)
b0945	pyrD	Escherichia coli str. K-12 substr. MG1655	dihydroorotate dehydrogenase, type 2(pyrD)
b4069	acs	Escherichia coli str. K-12 substr. MG1655	acetyl-CoA synthetase (AMP-forming)(acs)
b4064	ghxP	Escherichia coli str. K-12 substr. MG1655	guanine/hypoxanthine transporter GhxP(ghxP)
b4067	actP	Escherichia coli str. K-12 substr. MG1655	acetate/glycolate:cation symporter(actP)
b0933	ssuB	Escherichia coli str. K-12 substr. MG1655	aliphatic sulfonate ABC transporter ATP binding subunit(ssuB)
b0932	pepN	Escherichia coli str. K-12 substr. MG1655	aminopeptidase N(pepN)
b0931	pncB	Escherichia coli str. K-12 substr. MG1655	nicotinate phosphoribosyltransferase(pncB)
b0937	ssuE	Escherichia coli str. K-12 substr. MG1655	NADPH-dependent FMN reductase(ssuE)
b0936	ssuA	Escherichia coli str. K-12 substr. MG1655	aliphatic sulfonate ABC transporter periplasmic binding protein(ssuA)
b0935	ssuD	Escherichia coli str. K-12 substr. MG1655	FMNH2-dependent alkanesulfonate monooxygenase(ssuD)
b0934	ssuC	Escherichia coli str. K-12 substr. MG1655	aliphatic sulfonate ABC transporter membrane subunit(ssuC)
b0092	ddlB	Escherichia coli str. K-12 substr. MG1655	D-alanine--D-alanine ligase B(ddlB)
b3360	pabA	Escherichia coli str. K-12 substr. MG1655	aminodeoxychorismate synthase subunit 2(pabA)
b0091	murC	Escherichia coli str. K-12 substr. MG1655	UDP-N-acetylmuramate--L-alanine ligase(murC)
b0090	murG	Escherichia coli str. K-12 substr. MG1655	N-acetylglucosaminyl transferase(murG)
b1185	dsbB	Escherichia coli str. K-12 substr. MG1655	protein thiol:quinone oxidoreductase DsbB(dsbB)
b2032	wbbK	Escherichia coli str. K-12 substr. MG1655	putative glycosyltransferase WbbK(wbbK)
b0096	lpxC	Escherichia coli str. K-12 substr. MG1655	UDP-3-O-acyl-N-acetylglucosamine deacetylase(lpxC)
b4209	ytfE	Escherichia coli str. K-12 substr. MG1655	iron-sulfur cluster repair protein YtfE(ytfE)
b4208	cycA	Escherichia coli str. K-12 substr. MG1655	D-serine/alanine/glycine/:H(+)symporter(cycA)
b0089	ftsW	Escherichia coli str. K-12 substr. MG1655	peptidoglycan glycosyltransferase FtsW(ftsW)
b2026	hisI	Escherichia coli str. K-12 substr. MG1655	putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase(hisI)
b3115	tdcD	Escherichia coli str. K-12 substr. MG1655	propionate kinase(tdcD)
b3599	mtlA	Escherichia coli str. K-12 substr. MG1655	mannitol-specific PTS enzyme IICBA component(mtlA)
b2027	wzzB	Escherichia coli str. K-12 substr. MG1655	O-antigen co-polymerase(wzzB)
b0088	murD	Escherichia coli str. K-12 substr. MG1655	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase(murD)
b3116	tdcC	Escherichia coli str. K-12 substr. MG1655	threonine/serine:H(+) symporter(tdcC)
b2028	ugd	Escherichia coli str. K-12 substr. MG1655	UDP-glucose 6-dehydrogenase(ugd)
b0087	mraY	Escherichia coli str. K-12 substr. MG1655	phospho-N-acetylmuramoyl-pentapeptide-transferase(mraY)
b3117	tdcB	Escherichia coli str. K-12 substr. MG1655	catabolic threonine dehydratase(tdcB)
b3359	argD	Escherichia coli str. K-12 substr. MG1655	N-acetylornithine aminotransferase/N-succinyldiaminopimelate aminotransferase(argD)
b2029	gnd	Escherichia coli str. K-12 substr. MG1655	6-phosphogluconate dehydrogenase, decarboxylating(gnd)
b0086	murF	Escherichia coli str. K-12 substr. MG1655	D-alanyl-D-alanine-adding enzyme(murF)
b2022	hisB	Escherichia coli str. K-12 substr. MG1655	imidazoleglycerol-phosphate dehydratase/histidinol-phosphatase(hisB)
b2264	menD	Escherichia coli str. K-12 substr. MG1655	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase(menD)
b2023	hisH	Escherichia coli str. K-12 substr. MG1655	imidazole glycerol phosphate synthase subunit HisH(hisH)
b2265	menF	Escherichia coli str. K-12 substr. MG1655	isochorismate synthase MenF(menF)
b2024	hisA	Escherichia coli str. K-12 substr. MG1655	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase(hisA)
b2025	hisF	Escherichia coli str. K-12 substr. MG1655	imidazole glycerol phosphate synthase subunit HisF(hisF)
b3114	tdcE	Escherichia coli str. K-12 substr. MG1655	2-ketobutyrate formate-lyase/pyruvate formate-lyase 4(tdcE)
b2260	menE	Escherichia coli str. K-12 substr. MG1655	o-succinylbenzoate--CoA ligase(menE)
b2261	menC	Escherichia coli str. K-12 substr. MG1655	o-succinylbenzoate synthase(menC)
b3350	kefB	Escherichia coli str. K-12 substr. MG1655	K(+) : H(+) antiporter KefB(kefB)
b2020	hisD	Escherichia coli str. K-12 substr. MG1655	histidinal/histidinol dehydrogenase(hisD)
b2262	menB	Escherichia coli str. K-12 substr. MG1655	1,4-dihydroxy-2-naphthoyl-CoA synthase(menB)
b2021	hisC	Escherichia coli str. K-12 substr. MG1655	histidinol-phosphate aminotransferase(hisC)
b2263	menH	Escherichia coli str. K-12 substr. MG1655	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase(menH)
b0085	murE	Escherichia coli str. K-12 substr. MG1655	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase(murE)
b0084	ftsI	Escherichia coli str. K-12 substr. MG1655	peptidoglycan DD-transpeptidase FtsI(ftsI)
b3590	selB	Escherichia coli str. K-12 substr. MG1655	selenocysteyl-tRNA-specific translation elongation factor(selB)
b2019	hisG	Escherichia coli str. K-12 substr. MG1655	ATP phosphoribosyltransferase(hisG)
b2499	purM	Escherichia coli str. K-12 substr. MG1655	phosphoribosylformylglycinamide cyclo-ligase(purM)
b0078	ilvH	Escherichia coli str. K-12 substr. MG1655	acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit(ilvH)
b2257	arnT	Escherichia coli str. K-12 substr. MG1655	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase(arnT)
b3588	aldB	Escherichia coli str. K-12 substr. MG1655	aldehyde dehydrogenase B(aldB)
b0077	ilvI	Escherichia coli str. K-12 substr. MG1655	acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit(ilvI)
b2258	arnF	Escherichia coli str. K-12 substr. MG1655	undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit(arnF)
b3589	yiaY	Escherichia coli str. K-12 substr. MG1655	L-threonine dehydrogenase(yiaY)
b2253	arnB	Escherichia coli str. K-12 substr. MG1655	UDP-4-amino-4-deoxy-L-arabinose aminotransferase(arnB)
b2254	arnC	Escherichia coli str. K-12 substr. MG1655	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase(arnC)
b2497	uraA	Escherichia coli str. K-12 substr. MG1655	uracil:H(+) symporter UraA(uraA)
b2255	arnA	Escherichia coli str. K-12 substr. MG1655	fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase(arnA)
b2014	plaP	Escherichia coli str. K-12 substr. MG1655	putrescine:H(+) symporter PlaP(plaP)
b2498	upp	Escherichia coli str. K-12 substr. MG1655	uracil phosphoribosyltransferase(upp)
b2256	arnD	Escherichia coli str. K-12 substr. MG1655	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD(arnD)
b0070	setA	Escherichia coli str. K-12 substr. MG1655	sugar exporter SetA(setA)
b3580	lyxK	Escherichia coli str. K-12 substr. MG1655	L-xylulose kinase(lyxK)
b2492	focB	Escherichia coli str. K-12 substr. MG1655	formate channel FocB(focB)
b3581	sgbH	Escherichia coli str. K-12 substr. MG1655	3-keto-L-gulonate-6-phosphate decarboxylase SgbH(sgbH)
b2251	nudI	Escherichia coli str. K-12 substr. MG1655	pyrimidine deoxynucleotide diphosphatase NudI(nudI)
b3582	sgbU	Escherichia coli str. K-12 substr. MG1655	putative L-xylulose 5-phosphate 3-epimerase(sgbU)
b2010	dacD	Escherichia coli str. K-12 substr. MG1655	D-alanyl-D-alanine carboxypeptidase DacD(dacD)
b3583	sgbE	Escherichia coli str. K-12 substr. MG1655	L-ribulose-5-phosphate 4-epimerase SgbE(sgbE)
b0074	leuA	Escherichia coli str. K-12 substr. MG1655	2-isopropylmalate synthase(leuA)
b0073	leuB	Escherichia coli str. K-12 substr. MG1655	3-isopropylmalate dehydrogenase(leuB)
b0072	leuC	Escherichia coli str. K-12 substr. MG1655	3-isopropylmalate dehydratase subunit LeuC(leuC)
b0071	leuD	Escherichia coli str. K-12 substr. MG1655	3-isopropylmalate dehydratase subunit LeuD(leuD)
b2490	hyfJ	Escherichia coli str. K-12 substr. MG1655	putative hydrogenase 4 assembly protein(hyfJ)
b0067	thiP	Escherichia coli str. K-12 substr. MG1655	thiamine ABC transporter membrane subunit(thiP)
b2488	hyfH	Escherichia coli str. K-12 substr. MG1655	hydrogenase 4 component H(hyfH)
b3577	yiaM	Escherichia coli str. K-12 substr. MG1655	2,3-diketo-L-gulonate:Na(+) symporter - membrane subunit(yiaM)
b0066	thiQ	Escherichia coli str. K-12 substr. MG1655	thiamine ABC transporter ATP binding subunit(thiQ)
b2489	hyfI	Escherichia coli str. K-12 substr. MG1655	hydrogenase 4 catalytic subunit HyfI(hyfI)
b3336	bfr	Escherichia coli str. K-12 substr. MG1655	bacterioferritin(bfr)
b2247	rhmD	Escherichia coli str. K-12 substr. MG1655	L-rhamnonate dehydratase(rhmD)
b3578	yiaN	Escherichia coli str. K-12 substr. MG1655	2,3-diketo-L-gulonate:Na(+) symporter - membrane subunit(yiaN)
b3579	yiaO	Escherichia coli str. K-12 substr. MG1655	2,3-diketo-L-gulonate:Na(+) symporter - periplasmic binding protein(yiaO)
b2242	glpB	Escherichia coli str. K-12 substr. MG1655	anaerobic glycerol-3-phosphate dehydrogenase subunit B(glpB)
b2484	hyfD	Escherichia coli str. K-12 substr. MG1655	hydrogenase 4 component D(hyfD)
b1395	paaH	Escherichia coli str. K-12 substr. MG1655	3-hydroxyadipyl-CoA dehydrogenase(paaH)
b2243	glpC	Escherichia coli str. K-12 substr. MG1655	anaerobic glycerol-3-phosphate dehydrogenase subunit C(glpC)
b1396	paaI	Escherichia coli str. K-12 substr. MG1655	phenylacetyl-CoA thioesterase(paaI)
b2485	hyfE	Escherichia coli str. K-12 substr. MG1655	hydrogenase 4 component E(hyfE)
b2486	hyfF	Escherichia coli str. K-12 substr. MG1655	hydrogenase 4 component F(hyfF)
b3575	yiaK	Escherichia coli str. K-12 substr. MG1655	2,3-diketo-L-gulonate reductase(yiaK)
b1397	paaJ	Escherichia coli str. K-12 substr. MG1655	beta-ketoadipyl-CoA thiolase(paaJ)
b0068	thiB	Escherichia coli str. K-12 substr. MG1655	thiamine ABC transporter periplasmic binding protein(thiB)
b2487	hyfG	Escherichia coli str. K-12 substr. MG1655	hydrogenase 4 catalytic subunit HyfG(hyfG)
b1398	paaK	Escherichia coli str. K-12 substr. MG1655	phenylacetate-CoA ligase(paaK)
b2245	yfaU	Escherichia coli str. K-12 substr. MG1655	2-keto-3-deoxy-L-rhamnonate aldolase(yfaU)
b2480	bcp	Escherichia coli str. K-12 substr. MG1655	thiol peroxidase(bcp)
b1391	paaD	Escherichia coli str. K-12 substr. MG1655	phenylacetate degradation protein(paaD)
b2481	hyfA	Escherichia coli str. K-12 substr. MG1655	hydrogenase 4 component A(hyfA)
b1392	paaE	Escherichia coli str. K-12 substr. MG1655	phenylacetyl-CoA 1,2-epoxidase, reductase subunit(paaE)
b2240	glpT	Escherichia coli str. K-12 substr. MG1655	sn-glycerol 3-phosphate:phosphate antiporter(glpT)
b2482	hyfB	Escherichia coli str. K-12 substr. MG1655	hydrogenase 4 component B(hyfB)
b1393	paaF	Escherichia coli str. K-12 substr. MG1655	putative 2,3-dehydroadipyl-CoA hydratase(paaF)
b3571	malS	Escherichia coli str. K-12 substr. MG1655	alpha-amylase(malS)
b1394	paaG	Escherichia coli str. K-12 substr. MG1655	putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)(paaG)
b2241	glpA	Escherichia coli str. K-12 substr. MG1655	anaerobic glycerol-3-phosphate dehydrogenase subunit A(glpA)
b2483	hyfC	Escherichia coli str. K-12 substr. MG1655	hydrogenase 4 component C(hyfC)
b3572	avtA	Escherichia coli str. K-12 substr. MG1655	valine--pyruvate aminotransferase(avtA)
b0063	araB	Escherichia coli str. K-12 substr. MG1655	ribulokinase(araB)
b0062	araA	Escherichia coli str. K-12 substr. MG1655	L-arabinose isomerase(araA)
b0061	araD	Escherichia coli str. K-12 substr. MG1655	L-ribulose-5-phosphate 4-epimerase AraD(araD)
b1390	paaC	Escherichia coli str. K-12 substr. MG1655	phenylacetyl-CoA 1,2-epoxidase, structural subunit(paaC)
b2239	glpQ	Escherichia coli str. K-12 substr. MG1655	glycerophosphoryl diester phosphodiesterase GlpQ(glpQ)
b2235	nrdB	Escherichia coli str. K-12 substr. MG1655	ribonucleoside-diphosphate reductase 1 subunit beta(nrdB)
b1388	paaA	Escherichia coli str. K-12 substr. MG1655	phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit(paaA)
b3566	xylF	Escherichia coli str. K-12 substr. MG1655	xylose ABC transporter periplasmic binding protein(xylF)
b2478	dapA	Escherichia coli str. K-12 substr. MG1655	4-hydroxy-tetrahydrodipicolinate synthase(dapA)
b1389	paaB	Escherichia coli str. K-12 substr. MG1655	phenylacetyl-CoA 1,2-epoxidase subunit B(paaB)
b3567	xylG	Escherichia coli str. K-12 substr. MG1655	xylose ABC transporter ATP binding subunit(xylG)
b0054	lptD	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide assembly protein LptD(lptD)
b3568	xylH	Escherichia coli str. K-12 substr. MG1655	xylose ABC transporter membrane subunit(xylH)
b2232	ubiG	Escherichia coli str. K-12 substr. MG1655	bifunctional 3-demethylubiquinone-8 3-O-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase(ubiG)
b1385	feaB	Escherichia coli str. K-12 substr. MG1655	phenylacetaldehyde dehydrogenase(feaB)
b1386	tynA	Escherichia coli str. K-12 substr. MG1655	copper-containing amine oxidase(tynA)
b3564	xylB	Escherichia coli str. K-12 substr. MG1655	xylulokinase(xylB)
b2234	nrdA	Escherichia coli str. K-12 substr. MG1655	ribonucleoside-diphosphate reductase 1 subunit alpha(nrdA)
b2476	purC	Escherichia coli str. K-12 substr. MG1655	phosphoribosylaminoimidazole-succinocarboxamide synthase(purC)
b1387	paaZ	Escherichia coli str. K-12 substr. MG1655	fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase(paaZ)
b3565	xylA	Escherichia coli str. K-12 substr. MG1655	xylose isomerase(xylA)
b4254	argI	Escherichia coli str. K-12 substr. MG1655	ornithine carbamoyltransferase ArgI(argI)
b3161	mtr	Escherichia coli str. K-12 substr. MG1655	tryptophan:H(+) symporter Mtr(mtr)
b4006	purH	Escherichia coli str. K-12 substr. MG1655	bifunctional AICAR transformylase/IMP cyclohydrolase(purH)
b2066	udk	Escherichia coli str. K-12 substr. MG1655	uridine/cytidine kinase(udk)
b4245	pyrB	Escherichia coli str. K-12 substr. MG1655	aspartate carbamoyltransferase catalytic subunit(pyrB)
b3397	nudE	Escherichia coli str. K-12 substr. MG1655	ADP-sugar diphosphatase NudE(nudE)
b4244	pyrI	Escherichia coli str. K-12 substr. MG1655	aspartate carbamoyltransferase, PyrI subunit(pyrI)
b4005	purD	Escherichia coli str. K-12 substr. MG1655	phosphoribosylamine--glycine ligase(purD)
b3399	yrfG	Escherichia coli str. K-12 substr. MG1655	purine nucleotidase(yrfG)
